School,Municipality,Board,School Level,Students,Staff,Total Cases,Status
Chester Le Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Chine Drive Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Church Street Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
City School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Claude Watson School for the Arts,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Cliffside Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Coll̬ge fran̤ais ̩l̩mentaire,Toronto,CS Viamonde,Elementary,All resolved,All resolved,All resolved,Resolved
Cresthaven Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Crestview Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Dallington Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Danforth Gardens Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Dante Alighieri Academy Catholic Secondary School,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
David Lewis Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Davisville Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Delphi Secondary Alternative School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Don Mills Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Dorset Park Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Dovercourt Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Dr Norman Bethune Collegiate Institute,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Earl Haig Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
East York Alternative Secondary School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Eastdale Collegiate Institute,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Edgewood Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Eglinton Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Elia Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Emery EdVance Secondary School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Emily Carr Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ernest Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Essex Junior and Senior Public School ,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Etobicoke Year Round Alternative Centre,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
F H Miller Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Father Serra Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Faywood Arts-Based Curriculum School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Finch Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Fleming Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Francis Libermann Catholic High School,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Frank Oke Secondary School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Galloway Road Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
General Crerar Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
George B Little Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
George S Henry Academy,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
George Syme Community School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
George Webster Elementary School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Givins/Shaw Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Glen Ravine Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Gordon A Brown Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Gosford Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Greenland Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Guildwood Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Harrison Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Heather Heights Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Henry Kelsey Senior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Heritage Park Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Heydon Park Secondary School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Hillmount Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Hodgson Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Holy Angels Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Holy Child Catholic Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Holy Family Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Holy Name Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Humber Valley Village Junior Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Humbercrest Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Humewood Community School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Hunter's Glen Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Huron Street Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Indian Road Crescent Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Inglenook Community School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Inglewood Heights Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ionview Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
James Cardinal McGuigan Catholic High School,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Jarvis Collegiate Institute,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Jesse Ketchum Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
John A Leslie Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
John Buchan Senior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
John D Parker Junior School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
John Fisher Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
John G Althouse Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
John G Diefenbaker Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Josyf Cardinal Slipyj Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Kapapamahchakwew - Wandering Spirit Scho,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Kennedy Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Kensington Community School School Junior,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
King Edward Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
King George Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lakeshore Collegiate Institute,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Lambton Kingsway Junior Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lambton Park Community School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lanor Junior Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Leslieville Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lord Roberts Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Loretto Abbey Catholic School,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Lucy Maud Montgomery Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lucy McCormick Senior School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Macklin Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Malvern Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Manhattan Park Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Maplewood High School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Market Lane Junior and Senior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mary Shadd Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mary Ward Catholic Secondary School,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Meadowvale Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mill Valley Junior School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Milliken Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Monsignor Fraser-Midland Catholic school,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Monsignor John Corrigan Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Monsignor Percy Johnson Catholic High School,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Morrish Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mother Cabrini Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mountview Alternative School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Msgr Fraser College (Alternate Study) Secondary School,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Msgr Fraser College (Isabella Campus),Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Msgr Fraser-Midland,Toronto,Toronto CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Muirhead Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Niagara Street Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
North Albion Collegiate Institute,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
North Bendale Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Northlea Elementary and Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Oriole Park Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of Fatima Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of Lourdes Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of Peace,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of Sorrows Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of the Assumption Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Pape Avenue Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Parkfield Junior School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Pauline Johnson Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Perth Avenue Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Pineway Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Pleasant Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Poplar Road Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Portage Trail Community School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Princess Margaret Junior School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Queen Alexandra Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
RJ Lang Elementary Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Regal Road Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Regina Mundi Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Robert Service Senior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Rolph Road Elementary School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Roselands Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
